Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
EIF2S2_s_17795	0.633634114	49.207890748	49.9431937477	38	43.603945374	3_PromD1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1
EIF4A2_s_17838	0.633561511	42.3240415767	42.9986019736	0	22.3240415767	9_TxReg	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1
POLR3D_s_43114	0.628328196	98.4313777543	98.5852938745	78	88.21568887715	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
RPL37A_s_48186	0.627159524	3.49153396021	3.35006916975	0	-16.50846603979	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
EIF6_s_17908	0.626281002	63.4146071679	64.2390193478	0	43.4146071679	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LARS2_s_30546	0.625669081	57.5098564296	58.2835074587	77	67.2549282148	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLR2E_s_43069	0.624019398	56.7715229285	57.5406367714	63	59.88576146425	9_TxReg	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1
PSMD12_s_44777	0.62192909	37.8712545475	38.4932040994	0	17.8712545475	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MCM5_s_33172	0.619057035	36.2648768209	36.8733297389	0	16.2648768209	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AARS2_s_74	0.618083666	81.2800287886	82.0074151729	27	54.1400143943	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
PKMYT1_s_42184	0.616953158	56.9465844748	57.7185540998	0	36.9465844748	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1
ORC6_s_39592	0.615258718	82.6202377489	83.3433680072	55	68.81011887445	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1
PSMD13_s_44781	0.614149922	94.3576940988	94.7719592926	0	74.3576940988	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2A_s_10961	0.609842646	19.4895709702	19.7506157973	0	-0.510429029800001	2_PromU	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1
POLR3C_s_43112	0.608703972	77.9892920442	78.7409276428	52	64.9946460221	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SNRPD2_s_52839	0.603935099	85.6098155401	86.2653967622	71	78.30490777005	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VARS2_s_61122	0.603250012	86.4703012954	87.1211118077	17	51.7351506477	13_EnhA1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
NARS2_s_36099	0.60028258	66.8955592697	67.6953853425	74	70.44777963485	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCND3_s_10043	0.598654194	91.8830877937	92.3976188926	58	74.94154389685	3_PromD1	1	1	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
SKIV2L2_s_50882	0.596446773	32.3591018178	32.8876743235	0	12.3591018178	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EXOSC9_s_19025	0.596396808	16.4048301944	16.5807683951	55	35.7024150972	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1
MAD1L1_s_32318	0.595409474	85.7432133233	86.3970789954	56	70.87160666165	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SF3A2_s_50173	0.594976556	40.325655771	40.9774991642	0	20.325655771	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
DHX38_s_15934	0.594760754	8.20035034432	8.13353602643	0	-11.79964965568	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YARS_s_62375	0.59175726	79.9498117572	80.6951651405	71	75.4749058786	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GTF2B_s_24388	0.586882473	62.6026062343	63.4181635157	0	42.6026062343	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LSM5_s_31958	0.583027804	72.0112794499	72.8178973713	0	52.0112794499	12_TxEnhW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
PSMA7_s_44692	0.582001554	26.8783259574	27.336938988	0	6.8783259574	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
RPL35A_s_48176	0.581657461	84.6639375058	85.3496565654	89	86.8319687529	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
EIF1AX_s_17723	0.579913026	20.9261227739	21.223957095	0	0.926122773900001	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MCM4_s_33166	0.579484292	14.5175354667	14.6407233159	0	-5.4824645333	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMD3_s_44790	0.578715828	59.9373789953	60.7298707246	46	52.96868949765	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RFC4_s_46882	0.574569776	58.2863509881	59.0746982099	0	38.2863509881	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC40_s_10627	0.572910077	70.4155941935	71.209252579	0	50.4155941935	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMC3_s_44751	0.571782174	50.4767919935	51.2185361764	46	48.23839599675	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1
TAF9B_s_55303	0.56863946	11.6159308957	11.6573160088	0	-8.3840691043	1_TssA	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1
GTF2IRD1_s_24424	0.565635057	97.0993171936	97.342579377	73	85.0496585968	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPLP2_s_48221	0.565504413	88.9730398582	89.5701818751	48	68.4865199291	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1
POLR1C_s_43039	0.565399932	4.78561781646	4.67080539049	0	-15.21438218354	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TTC37_s_59597	0.562721209	73.6587678809	74.4395640733	82	77.82938394045	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TAF9_s_55298	0.559890518	56.3829806846	57.1540031033	71	63.6914903423	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SF3B5_s_50190	0.55924124	50.5339782736	51.2769884566	55	52.7669891368	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1
DIS3_s_16023	0.558829081	60.2758878529	61.0753171164	0	40.2758878529	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
POLR2H_s_43080	0.554039204	38.0777298337	38.7018472823	54	46.03886491685	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
POLE_s_42991	0.5534111	33.6876596727	34.2497441341	0	13.6876596727	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
DHX8_s_15946	0.550954197	68.9065548161	69.7170734063	0	48.9065548161	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
RBM25_s_46429	0.548645442	87.8371308194	88.4597714435	72	79.9185654097	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EIF4G3_s_17886	0.547969187	33.2613619479	33.80890128	0	13.2613619479	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LSM7_s_31967	0.547000686	26.5766139454	27.0272296911	64	45.2883069727	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ATR_s_4568	0.546981963	89.2412733773	89.8362165646	0	69.2412733773	3_PromD1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1
SNRNP200_s_52798	0.54631406	51.1507125794	51.9040153571	0	31.1507125794	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1
RQCD1_s_48414	0.543334171	70.84388293	71.6385732376	0	50.84388293	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MCM6_s_33174	0.541901255	0.819043215646	0.747333251885	0	-19.180956784354	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
E2F4_s_17241	0.541729093	77.3315945165	78.0957212785	0	57.3315945165	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1
CDC6_s_10668	0.538515951	33.0449316032	33.5879677554	0	13.0449316032	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PSMD11_s_44774	0.538465942	45.032702367	45.7339711631	0	25.032702367	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
PARN_s_40282	0.536729403	84.751910726	85.434518449	0	64.751910726	3_PromD1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
AARS_s_69	0.536454684	27.6513915513	28.1201922268	0	7.6513915513	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
SF3B2_s_50180	0.53473519	23.0147677761	23.3652199423	0	3.0147677761	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
ZMAT2_s_63195	0.53364864	26.258789487	26.6981704217	0	6.258789487	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
POLD1_s_42971	0.532787601	32.9181705257	33.456358679	0	12.9181705257	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPLP1_s_48216	0.532204546	5.62464489016	5.52246023379	45	25.31232244508	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
TAF12_s_55230	0.531768096	78.0196365371	78.7740310931	54	66.00981826855	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRPF6_s_44335	0.530683816	30.3673527177	30.8745821832	0	10.3673527177	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRPF4_s_44322	0.529415821	24.5127091069	24.9027197502	0	4.5127091069	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC25A_s_10599	0.52708997	14.7697302806	14.8968818379	0	-5.2302697194	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
RPL30_s_48164	0.52524651	37.8111186204	38.434824976	0	17.8111186204	9_TxReg	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
SF3A2_s_50171	0.52464736	23.39011035	23.746037645	0	3.39011035	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
PSMD6_s_44803	0.521552705	32.5603783512	33.0911599522	51	41.7801891756	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1
IARS_s_26500	0.52115564	26.209530383	26.6479482811	0	6.209530383	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2B_s_10978	0.520134119	74.0439180308	74.8182236506	67	70.5219590154	3_PromD1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
RARS_s_46140	0.519029588	95.8299366305	96.1688151598	86	90.91496831525	3_PromD1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
CCDC12_s_9501	0.518769571	98.1089444725	98.2880943898	59	78.55447223625	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
CNOT10_s_12682	0.516089226	49.5358546178	50.2731674771	0	29.5358546178	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
XRN1_s_62331	0.51486234	32.5507551281	33.0822714015	0	12.5507551281	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PARN_s_40279	0.514349317	7.30550120217	7.22317285415	0	-12.69449879783	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KARS_s_28411	0.511867661	5.80630627143	5.70849796661	0	-14.19369372857	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
USP39_s_60924	0.511710086	11.5251555109	11.5683207662	0	-8.4748444891	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EDC3_s_17398	0.50877625	94.2954565482	94.7144946292	68	81.1477282741	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
LIG1_s_31018	0.508291498	37.7218549297	38.3436350295	0	17.7218549297	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MARS2_s_32890	0.508209697	76.8850917101	77.6448925217	75	75.94254585505	3_PromD1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
SMAD3_s_52463	0.502861726	64.6986990951	65.5244939927	0	44.6986990951	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TARS2_s_55398	0.502224389	88.9139363075	89.5105225078	0	68.9139363075	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRNKL1_s_13689	0.501573817	91.0424015436	91.5876634231	56	73.5212007718	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK4_s_10889	0.499718523	80.5353166759	81.2747498586	52	66.26765833795	9_TxReg	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1
ACIN1_s_619	0.498658881	30.8661748868	31.3839729554	0	10.8661748868	9_TxReg	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	1	1
POLR3K_s_43134	0.498262895	70.9875676068	71.7838626349	0	50.9875676068	3_PromD1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1
BUB1B_s_5999	0.49412035	76.9913527413	77.7491409563	59	67.99567637065	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2C_s_10983	0.493709871	29.2250281968	29.7266057368	0	9.2250281968	10_TxEnh5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TAF6L_s_55285	0.49276298	18.7287464111	18.9821768097	0	-1.2712535889	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSMB5_s_44727	0.49268236	86.1706171657	86.8257412429	74	80.08530858285	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX23_s_15386	0.492453962	47.8318804479	48.5652489123	0	27.8318804479	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK1_s_10832	0.492382352	27.2341639908	27.7026132339	0	7.2341639908	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CDKN2A_s_10964	0.490910154	22.0495326837	22.3831996881	0	2.0495326837	23_PromBiv	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1
PSMD4_s_44795	0.490436397	21.4651338826	21.7789245512	0	1.4651338826	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RB1_s_46310	0.488845126	56.0632020851	56.8441840713	0	36.0632020851	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANAPC11_s_2306	0.48830139	7.45390531412	7.3714982585	0	-12.54609468588	9_TxReg	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1
LSM2_s_31950	0.486172586	68.9768301545	69.7837924044	0	48.9768301545	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PSTK_s_44871	0.48400722	54.5344738143	55.3066476849	0	34.5344738143	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK6_s_10908	0.48232137	92.3804720099	92.8783322006	75	83.69023600495	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TRA2A_s_58629	0.481330423	28.8428645644	29.3287425005	0	8.8428645644	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
CDK6_s_10910	0.480676028	94.2509906205	94.6710394922	0	74.2509906205	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUF60_s_45289	0.476262256	81.5976320234	82.3230135918	63	72.2988160117	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDC45_s_10661	0.473164911	97.3698366891	97.5913124841	50	73.68491834455	3_PromD1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1
PARS2_s_40336	0.471215453	83.7218940125	84.4336968982	77	80.36094700625	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TAF6_s_55282	0.468646426	49.8273534772	50.570659589	64	56.9136767386	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FARSA_s_20320	0.468513085	97.1535169562	97.3896923537	0	77.1535169562	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPL8_s_48210	0.468421444	3.73100842161	3.59316920362	0	-16.26899157839	9_TxReg	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
MCM6_s_33173	0.466903505	52.8472020202	53.6227977061	50	51.4236010101	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPL31_s_48167	0.463477874	53.81855763	54.5943565384	0	33.81855763	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PPIL1_s_43422	0.463434923	15.738984267	15.8941918625	0	-4.261015733	11_TxEnh3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLD1_s_42969	0.462641094	89.8513709775	90.430798426	62	75.92568548875	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DDX6_s_15483	0.461043649	9.82844484658	9.81467920379	0	-10.17155515342	10_TxEnh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1
LSM4_s_31954	0.456759232	44.281869737	44.9746036182	26	35.1409348685	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
PSMD14_s_44783	0.45418044	7.26575470957	7.18290003782	0	-12.73424529043	5_Tx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GTF2B_s_24386	0.453594004	87.844394325	88.4663555552	69	78.4221971625	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCNE1_s_10049	0.453231681	19.6634895282	19.9319349168	0	-0.3365104718	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNASEH2A_s_47476	0.448997039	20.3241735734	20.6066966268	0	0.3241735734	4_PromD2	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
PPIE_s_43407	0.448298157	98.0642941919	98.2453708208	0	78.0642941919	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
YARS_s_62378	0.447785575	87.4751722686	88.1053633442	83	85.2375861343	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
TCERG1_s_55789	0.443144258	50.456845006	51.1983083222	57	53.728422503	6_Tx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1
EEF2_s_17470	0.439689659	96.8910721192	97.1531398531	0	76.8910721192	9_TxReg	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1
